% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.021	1	3	3	2	1	0	81	0	0
0.323	1	3	33	4	1	28	2196	0	0
0.022	1	3	3	3	1	0	81	0	0
0.023	1	3	3	4	1	0	81	0	0
0.324	1	3	33	5	1	28	2196	0	0
0.024	1	3	3	5	1	0	81	0	0
0.325	1	3	33	6	1	28	2196	0	0
0.025	1	3	3	6	1	0	81	0	0
0.326	1	3	33	7	1	28	2196	0	0
0.026	1	3	3	7	1	28	2196	0	0
0.327	1	3	33	8	1	28	2196	0	0
0.027	1	3	3	8	1	28	2196	0	0
0.028	1	3	3	9	1	28	2196	0	0
0.029	1	3	3	10	1	28	2196	0	0
0.328	1	3	33	9	1	28	2196	0	0
0.329	1	3	33	10	1	28	2196	0	0
0.03	1	3	4	1	1	28	2196	0	0
0.031	1	3	4	2	1	28	2196	0	0
0.032	1	3	4	3	1	28	2196	0	0
0.33	1	3	34	1	1	28	2196	0	0
0.331	1	3	34	2	1	28	2196	0	0
0.332	1	3	34	3	1	28	2196	0	0
0.333	1	3	34	4	1	28	2196	0	0
0.033	1	3	4	4	1	28	2196	0	0
0.034	1	3	4	5	1	28	2196	0	0
0.035	1	3	4	6	1	28	2196	0	0
0.334	1	3	34	5	1	28	2196	0	0
0.335	1	3	34	6	1	28	2196	0	0
0.036	1	3	4	7	1	28	2196	0	0
0.037	1	3	4	8	1	28	2196	0	0
0.038	1	3	4	9	1	28	2196	0	0
0.336	1	3	34	7	1	28	2196	0	0
0.337	1	3	34	8	1	28	2196	0	0
0.338	1	3	34	9	1	28	2196	0	0
0.339	1	3	34	10	1	28	2196	0	0
0.039	1	3	4	10	1	28	2196	0	0
0.04	1	3	5	1	1	28	2196	0	0
0.041	1	3	5	2	1	28	2196	0	0
0.34	1	3	35	1	1	28	2196	0	0
0.341	1	3	35	2	1	28	2196	0	0
0.342	1	3	35	3	1	28	2196	0	0
0.042	1	3	5	3	1	28	2196	0	0
0.043	1	3	5	4	1	28	2196	0	0
0.343	1	3	35	4	1	28	2196	0	0
0.344	1	3	35	5	1	28	2196	0	0
0.345	1	3	35	6	1	28	2196	0	0
0.044	1	3	5	5	1	28	2196	0	0
0.045	1	3	5	6	1	28	2196	0	0
0.046	1	3	5	7	1	28	2196	0	0
0.047	1	3	5	8	1	28	2196	0	0
0.346	1	3	35	7	1	28	2196	0	0
0.347	1	3	35	8	1	28	2196	0	0
0.348	1	3	35	9	1	28	2196	0	0
0.048	1	3	5	9	1	28	2196	0	0
0.049	1	3	5	10	1	28	2196	0	0
0.349	1	3	35	10	1	28	2196	0	0
0.35	1	3	36	1	1	28	2196	0	0
